,Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Page start,Page end,Cited by,DOI,Link,Document Type,Open Access,Abstract,Keywords,Text
8171,"Chen, S.-P., Wu, W.-Y.",23011453000; 7407078721,A systematic procedure to evaluate an automobile manufacturer-distributor partnership,2010,European Journal of Operational Research,205.0,3.0,687.0,698.0,36.0,10.1016/j.ejor.2010.01.036,https://www.scopus.com/inward/record.url?eid=2-s2.0-77949274537&partnerID=40&md5=156ed14a207111d4b9b4e9660dddf8c1,Article,,"Automobile manufacturer-distributor partnerships are fundamental to the success of automobile companies. The complexity of the overall partnership model often causes difficulties in partnership study. This paper presents a systematic procedure to evaluate an automobile manufacturer-distributor partnership consisting of a large number of system variables. Firstly, Interpretive Structure Modeling (ISM) is used to sort system variables into groups of various characteristics. This sorting process provides an effective means to develop a three-stage hierarchic/network model of the partnership, including Stage I: partnership selection, Stage II: partnership establishment, and Stage III: partnership maintenance. Secondly, Analytic Hierarchy Process (AHP)/Analytic Network Process (ANP) are applied to partnership evaluation based on as many as 20 system variables. Relative importance weight of all variables is quantitatively determined. The most investment-worthy variables found are management strength and power. Finally, this paper makes a comparison between the optimum distributors identified by the present procedure and in practical cases. The usefulness and efficiency of the proposed procedure are ascertained with highly consistent results in the comparison. © 2010 Elsevier B.V. All rights reserved.","('Analytic Hierarchy Process (AHP)', 'Analytic Network Process (ANP)', 'Interpretive Structure Modeling (ISM)', 'Marketing', 'Partnership')",a systemat procedur evalu automobil manufactur distributor partnership automobil manufactur distributor partnership fundament success automobil compani the complex overal partnership model often caus difficulti partnership studi this paper present systemat procedur evalu automobil manufactur distributor partnership consist larg number system variabl first interpret structur model ism use sort system variabl group various characterist this sort process provid effect mean develop three stage hierarch network model partnership includ stage i partnership select stage ii partnership establish stage iii partnership mainten second analyt hierarchi process ahp analyt network process anp appli partnership evalu base mani system variabl relat import weight variabl quantit determin the invest worthi variabl found manag strength power final paper make comparison optimum distributor identifi present procedur practic case the use effici propos procedur ascertain high consist result comparison elsevi b v all right reserv analyt hierarchi process ahp analyt network process anp interpret structur model ism market partnership
8183,"Öner, K.B., Kiesmüller, G.P., van Houtum, G.J.",26436034100; 6602394519; 6602916110,Optimization of component reliability in the design phase of capital goods,2010,European Journal of Operational Research,205.0,3.0,615.0,624.0,74.0,10.1016/j.ejor.2010.01.030,https://www.scopus.com/inward/record.url?eid=2-s2.0-77649338719&partnerID=40&md5=73cc41fa9ae96a2ddc89e10e1c0576ac,Article,,"We introduce a quantitative model to support the decision on the reliability level of a critical component during its design. We consider an OEM who is responsible for the availability of its systems in the field through service contracts. Upon a failure of a critical part in a system during the exploitation phase, the failed part is replaced by a ready-for-use part from a spare parts inventory. In an out-of-stock situation, a costly emergency procedure is applied. The reliability levels and spare parts inventory levels of the critical components are the two main factors that determine the downtime and corresponding costs of the systems. These two levels are decision variables in our model. We formulate the portions of Life Cycle Costs (LCC) which are affected by a component's reliability and its spare parts inventory level. These costs consist of design costs, production costs, and maintenance and downtime costs in the exploitation phase. We conduct exact analysis and provide an efficient optimization algorithm. We provide managerial insights through a numerical experiment which is based on real-life data. © 2010 Elsevier B.V. All rights reserved.","('Capital goods', 'Life cycle costs', 'Reliability', 'Spare parts inventory')",optim compon reliabl design phase capit good we introduc quantit model support decis reliabl level critic compon design we consid oem respons avail system field servic contract upon failur critic part system exploit phase fail part replac readi for use part spare part inventori in out of stock situat cost emerg procedur appli the reliabl level spare part inventori level critic compon two main factor determin downtim correspond cost system these two level decis variabl model we formul portion life cycl cost lcc affect compon s reliabl spare part inventori level these cost consist design cost product cost mainten downtim cost exploit phase we conduct exact analysi provid effici optim algorithm we provid manageri insight numer experi base real life data elsevi b v all right reserv capit good life cycl cost reliabl spare part inventori
8202,"Kurt, M., Kharoufeh, J.P.",55408935700; 6602353873,Optimally maintaining a Markovian deteriorating system with limited imperfect repairs,2010,European Journal of Operational Research,205.0,2.0,368.0,380.0,50.0,10.1016/j.ejor.2010.01.009,https://www.scopus.com/inward/record.url?eid=2-s2.0-76949102260&partnerID=40&md5=90884307507c23f419c5081dffa10ebb,Article,,"We consider the problem of optimally maintaining a periodically inspected system that deteriorates according to a discrete-time Markov process and has a limit on the number of repairs that can be performed before it must be replaced. After each inspection, a decision maker must decide whether to repair the system, replace it with a new one, or leave it operating until the next inspection, where each repair makes the system more susceptible to future deterioration. If the system is found to be failed at an inspection, then it must be either repaired or replaced with a new one at an additional penalty cost. The objective is to minimize the total expected discounted cost due to operation, inspection, maintenance, replacement and failure. We formulate an infinite-horizon Markov decision process model and derive key structural properties of the resulting optimal cost function that are sufficient to establish the existence of an optimal threshold-type policy with respect to the system's deterioration level and cumulative number of repairs. We also explore the sensitivity of the optimal policy to inspection, repair and replacement costs. Numerical examples are presented to illustrate the structure and the sensitivity of the optimal policy. © 2010 Elsevier B.V. All rights reserved.","('Limited repairs', 'Markov decision processes', 'Reliability', 'Threshold-type policy')",optim maintain markovian deterior system limit imperfect repair we consid problem optim maintain period inspect system deterior accord discret time markov process limit number repair perform must replac after inspect decis maker must decid whether repair system replac new one leav oper next inspect repair make system suscept futur deterior if system found fail inspect must either repair replac new one addit penalti cost the object minim total expect discount cost due oper inspect mainten replac failur we formul infinit horizon markov decis process model deriv key structur properti result optim cost function suffici establish exist optim threshold type polici respect system s deterior level cumul number repair we also explor sensit optim polici inspect repair replac cost numer exampl present illustr structur sensit optim polici elsevi b v all right reserv limit repair markov decis process reliabl threshold type polici
8346,"Lau, A.H.L., Lau, H.-S., Wang, J.-C.",7202626080; 7201497264; 7701314571,Usefulness of resale price maintenance under different levels of sales-effort cost and system-parameter uncertainties,2010,European Journal of Operational Research,203.0,2.0,513.0,525.0,24.0,10.1016/j.ejor.2009.08.011,https://www.scopus.com/inward/record.url?eid=2-s2.0-70350738347&partnerID=40&md5=32d1f147a29d4786fd395ff43b95d6fe,Article,,"This paper on ""resale price maintenance"" (RPM) has three main parts:(i)Using a simple and parsimonious model, we show that even with only one retailer, a ""supplier"" or ""manufacturer"" (hereafter ""Manu"") should impose minimum-RPM under some circumstances but maximum-RPM in others. These two sets of circumstances are defined by a very simple formula.(ii)While most earlier RPM models assume that the decision makers have deterministic knowledge of the system parameters, we present formulations and solution procedures for optimizing RPM schemes when Manu is uncertain about a system parameter's value.(iii)We show that if Manu has to estimate certain key system parameters under uncertainties, then in many situations RPM rapidly becomes unattractive even when these uncertainties are still quite low. This constitutes one often-applicable explanation why RPM is not as widely used as it should be theoretically. © 2009 Elsevier B.V. All rights reserved.","('Contract design', 'Resale price maintenance', 'Supply-chain pricing')",use resal price mainten differ level sale effort cost system paramet uncertainti this paper resal price mainten rpm three main part i use simpl parsimoni model show even one retail supplier manufactur hereaft manu impos minimum rpm circumst maximum rpm other these two set circumst defin simpl formula ii while earlier rpm model assum decis maker determinist knowledg system paramet present formul solut procedur optim rpm scheme manu uncertain system paramet s valu iii we show manu estim certain key system paramet uncertainti mani situat rpm rapid becom unattract even uncertainti still quit low this constitut one often applic explan rpm wide use theoret elsevi b v all right reserv contract design resal price mainten suppli chain price
8405,"Zhu, Y., Elsayed, E.A., Liao, H., Chan, L.Y.",35323529600; 7006782289; 7201507709; 7403540482,Availability optimization of systems subject to competing risk,2010,European Journal of Operational Research,202.0,3.0,781.0,788.0,58.0,10.1016/j.ejor.2009.06.008,https://www.scopus.com/inward/record.url?eid=2-s2.0-70350569830&partnerID=40&md5=f85d1b6c6ff4ea37db92cb863f504a46,Article,,"This paper considers a competing risk (degradation and sudden failure) maintenance situation. A maintenance model and a repair cost model are presented. The degradation state of the units is continuously monitored. When either the degradation level reaches a predetermined threshold or a sudden failure occurs before the unit reaches the degradation threshold level, the unit is immediately repaired (renewed) and restored to operation. The subsequent repair times increase with the number of renewals. This process is repeated until a predetermined time is reached for preventive maintenance to be performed. The optimal maintenance schedule that maximizes the unit availability subject to repair cost constraint is determined in terms of the degradation threshold level and the time to perform preventive maintenance. © 2009 Elsevier B.V. All rights reserved.","('Competing risk', 'Degradation process', 'Non-stationary renewal process', 'Preventive maintenance', 'Sudden failure')",avail optim system subject compet risk this paper consid compet risk degrad sudden failur mainten situat a mainten model repair cost model present the degrad state unit continu monitor when either degrad level reach predetermin threshold sudden failur occur unit reach degrad threshold level unit immedi repair renew restor oper the subsequ repair time increas number renew this process repeat predetermin time reach prevent mainten perform the optim mainten schedul maxim unit avail subject repair cost constraint determin term degrad threshold level time perform prevent mainten elsevi b v all right reserv compet risk degrad process non stationari renew process prevent mainten sudden failur
8527,"Lodree Jr., E.J., Geiger, C.D.",6506847506; 55410749400,A note on the optimal sequence position for a rate-modifying activity under simple linear deterioration,2010,European Journal of Operational Research,201.0,2.0,644.0,648.0,86.0,10.1016/j.ejor.2009.03.027,https://www.scopus.com/inward/record.url?eid=2-s2.0-70349292182&partnerID=40&md5=b712822a24c990d5e4ee3da46715692b,Article,,"This paper addresses the integration of two emerging classes of scheduling problems which, for the most part, have evolved independently. These problem classes are (i) scheduling problems with time-dependent processing times and (ii) scheduling problems with rate-modifying activities (RMAs). The integration of these two concepts is motivated by human operators who experience fatigue while carrying out tasks and take rest breaks for recovery, but is also applicable to machines that experience performance degradation over time and require maintenance in order to sustain acceptable production rates. We explore a sequence-independent, single processor makespan problem with position-dependent processing times and prove that under certain conditions, the optimal policy is to schedule the RMA in the middle of the task sequence. © 2009 Elsevier B.V.","('Human operator', 'Makespan', 'Position-dependent processing times', 'Rate-modifying activity', 'Scheduling')",a note optim sequenc posit rate modifi activ simpl linear deterior this paper address integr two emerg class schedul problem which part evolv independ these problem class i schedul problem time depend process time ii schedul problem rate modifi activ rmas the integr two concept motiv human oper experi fatigu carri task take rest break recoveri also applic machin experi perform degrad time requir mainten order sustain accept product rate we explor sequenc independ singl processor makespan problem posit depend process time prove certain condit optim polici schedul rma middl task sequenc elsevi b v human oper makespan posit depend process time rate modifi activ schedul
8565,"Wang, W.",57203262582,"A model for maintenance service contract design, negotiation and optimization",2010,European Journal of Operational Research,201.0,1.0,239.0,246.0,70.0,10.1016/j.ejor.2009.02.018,https://www.scopus.com/inward/record.url?eid=2-s2.0-70249124645&partnerID=40&md5=62d6dd7b0b0a4d2ea74e877daeafd2c4,Article,,"A model is presented in this paper for maintenance service contract design, negotiation and optimization. The model was developed under the assumption that there are one customer and one unique service provider who is the Original Equipment Manufacturer (OEM) and is called the agent in this paper. This is typically applied to the situation where the OEM is the only possible service supplier such as in the case of major military equipment in the defense sector. Three contract options were considered, depending on the extent of outsourced maintenance activities. From an agent point of view, they are, (1), the agent carries out all repairs and inspections; (2), the agent carries out failure based repairs, and (3), the agent does inspections and repairs to the defects identified at inspections. For options two and three, the customer does the rest of maintenance. The relationship between inspections and failures was modeled using the delay time concept and a numerical example was illustrated. The cases of perfect information to both parties and information asymmetry were also discussed in the example. The model developed can be used for contract design, negotiation and optimization. © 2009 Elsevier B.V. All rights reserved.","('Delay time', 'Inspection', 'Maintenance', 'Reliability', 'Repair', 'Service contract')",a model mainten servic contract design negoti optim a model present paper mainten servic contract design negoti optim the model develop assumpt one custom one uniqu servic provid origin equip manufactur oem call agent paper this typic appli situat oem possibl servic supplier case major militari equip defens sector three contract option consid depend extent outsourc mainten activ from agent point view are agent carri repair inspect agent carri failur base repair agent inspect repair defect identifi inspect for option two three custom rest mainten the relationship inspect failur model use delay time concept numer exampl illustr the case perfect inform parti inform asymmetri also discuss exampl the model develop use contract design negoti optim elsevi b v all right reserv delay time inspect mainten reliabl repair servic contract
8595,"Rastpour, A., Esfahani, M.S.",26321887300; 55390492200,Mathematical models for selection of optimal place and size of connections considering the time-value of money,2010,European Journal of Operational Research,200.0,3.0,764.0,773.0,3.0,10.1016/j.ejor.2009.01.050,https://www.scopus.com/inward/record.url?eid=2-s2.0-69749121195&partnerID=40&md5=3896f3222a9fcab0d877e6e2e51e748e,Article,,"In this study, mathematical models to select the optimal place and size of connections are studied considering the time-value of money. A connection is defined as a part that links different sets of departments through which some interdepartmental material flows must go [S. Huang, R. Batta, R. Nagi, Variable capacity sizing and selection of connections in a facility layout, IIE Transactions 35 (2003) 49-59]. The goal of this paper is to select the location and capacity of the connections so as to minimize the sum of material movement, connection installation and connection maintenance costs minus the salvage value considering the time-value of money. Mixed integer nonlinear programming models are developed for discrete and continuous capacity options. The mixed integer nonlinear programming models of the continuous cases are reduced to mixed integer linear programming models, using proved properties of these problems. For the discrete capacity cases, a computational example and sensitivity analysis of the solutions with respect to possible future changes in the values of parameters are developed and presented. © 2009 Elsevier B.V. All rights reserved.","('Economics', 'Investment analysis', 'Linear programming', 'Logistics', 'Nonlinear programming')",mathemat model select optim place size connect consid time valu money in studi mathemat model select optim place size connect studi consid time valu money a connect defin part link differ set depart interdepartment materi flow must go s huang r batta r nagi variabl capac size select connect facil layout iie transact the goal paper select locat capac connect minim sum materi movement connect instal connect mainten cost minus salvag valu consid time valu money mix integ nonlinear program model develop discret continu capac option the mix integ nonlinear program model continu case reduc mix integ linear program model use prove properti problem for discret capac case comput exampl sensit analysi solut respect possibl futur chang valu paramet develop present elsevi b v all right reserv econom invest analysi linear program logist nonlinear program
8657,"Lin, Y.-K.",35217935400,Calculation of minimal capacity vectors through k minimal paths under budget and time constraints,2010,European Journal of Operational Research,200.0,1.0,160.0,169.0,17.0,10.1016/j.ejor.2008.12.006,https://www.scopus.com/inward/record.url?eid=2-s2.0-69249236970&partnerID=40&md5=dfe59fe1110f2d53b460e68fbc1b655c,Article,,"Reducing the transmission time is an important issue for a flow network to transmit a given amount of data from the source to the sink. The quickest path problem thus arises to find a single path with minimum transmission time. More specifically, the capacity of each arc is assumed to be deterministic. However, in many real-life networks such as computer networks and telecommunication networks, the capacity of each arc is stochastic due to failure, maintenance, etc. Hence, the minimum transmission time is not a fixed number. Such a network is named a stochastic-flow network. In order to reduce the transmission time, the network allows the data to be transmitted through k minimal paths simultaneously. Including the cost attribute, this paper evaluates the probability that d units of data can be transmitted under both time threshold T and budget B. Such a probability is called the system reliability. An efficient algorithm is proposed to generate all of lower boundary points for (d, T, B), the minimal capacity vectors satisfying the demand, time, and budget requirements. The system reliability can then be computed in terms of such points. Moreover, the optimal combination of k minimal paths with highest system reliability can be obtained. © 2008 Elsevier B.V. All rights reserved.","('Branch-and-bound', 'Budget', 'k Minimal paths', 'Minimal capacity vectors', 'Quickest path', 'Time threshold')",calcul minim capac vector k minim path budget time constraint reduc transmiss time import issu flow network transmit given amount data sourc sink the quickest path problem thus aris find singl path minimum transmiss time more specif capac arc assum determinist howev mani real life network comput network telecommun network capac arc stochast due failur mainten etc henc minimum transmiss time fix number such network name stochast flow network in order reduc transmiss time network allow data transmit k minim path simultan includ cost attribut paper evalu probabl unit data transmit time threshold t budget b such probabl call system reliabl an effici algorithm propos generat lower boundari point d t b minim capac vector satisfi demand time budget requir the system reliabl comput term point moreov optim combin k minim path highest system reliabl obtain elsevi b v all right reserv branch and bound budget k minim path minim capac vector quickest path time threshold
8691,"Rappold, J.A., Van Roo, B.D.",6602865539; 25639207400,Designing multi-echelon service parts networks with finite repair capacity,2009,European Journal of Operational Research,199.0,3.0,781.0,792.0,59.0,10.1016/j.ejor.2008.08.006,https://www.scopus.com/inward/record.url?eid=2-s2.0-67349199931&partnerID=40&md5=94ee6957967812662ab0042b0daa3b43,Article,,"We propose an approach to model and solve the joint problem of facility location, inventory allocation and capacity investment in a two echelon, single-item, service parts supply chain with stochastic demand. The objective of the decision problem is to minimize the total expected costs associated with (1) opening repair facilities, (2) assigning each field service location to an opened facility, (3) determining capacity levels of the opened repair facilities, and (4) optimizing inventory allocation among the locations. Due to the size of the problem, computational efficiency is essential. The accuracy of the approximations and effectiveness of the approach are analyzed with two numerical studies. The approach provides optimal results in 90% of scenarios tested and was within 2% of optimal when it did not.We explore the impact of capacity utilization, inventory availability, and lead times on the performance of the approach. We show that including tactical considerations jointly with strategic network design resulted in additional cost savings from 3% to 12%. Our contribution is the development of a practical model and approach to support the decision making process of joint facility location and multi-echelon inventory optimization. © 2008 Elsevier B.V. All rights reserved.","('Integer programming', 'Inventory', 'Maintenance', 'Non-linear programming', 'OR in military', 'Queueing', 'Stochastic processes')",design multi echelon servic part network finit repair capac we propos approach model solv joint problem facil locat inventori alloc capac invest two echelon singl item servic part suppli chain stochast demand the object decis problem minim total expect cost associ open repair facil assign field servic locat open facil determin capac level open repair facil optim inventori alloc among locat due size problem comput effici essenti the accuraci approxim effect approach analyz two numer studi the approach provid optim result scenario test within optim not we explor impact capac util inventori avail lead time perform approach we show includ tactic consider joint strateg network design result addit cost save our contribut develop practic model approach support decis make process joint facil locat multi echelon inventori optim elsevi b v all right reserv integ program inventori mainten non linear program or militari queue stochast process
8752,"Yeo, W.M., Yuan, X.-M.",36661704800; 7402202274,Optimal warranty policies for systems with imperfect repair,2009,European Journal of Operational Research,199.0,1.0,187.0,197.0,41.0,10.1016/j.ejor.2008.10.036,https://www.scopus.com/inward/record.url?eid=2-s2.0-67349235295&partnerID=40&md5=3dcce4d811f9f60e3294e99db8647fc1,Article,,"We investigate a system whose basic warranty coverage is minimal repair up to a specified warranty length. An additional service is offered whereby first failure is restored up to the consumers' chosen level of repair. The problem is studied under two system replacement strategies: periodic maintenance before and after warranty. It turns out that our model generalizes the model of Rinsaka and Sandoh [K. Rinsaka, H. Sandoh, A stochastic model with an additional warranty contract, Computers and Mathematics with Applications 51 (2006) 179-188] and the model of Yeh et al. [R.H. Yeh, M.Y. Chen, C.Y. Lin, Optimal periodic replacement policy for repairable products under free-repair warranty, European Journal of Operational Research 176 (2007) 1678-1686]. We derive the optimal maintenance period and optimal level of repair based on the structures of the cost function and failure rate function. We show that under certain assumptions, the optimal repair level for additional service is an increasing function of the replacement time. We provide numerical studies to verify some of our results. © 2008 Elsevier B.V. All rights reserved.","('Long-run expected cost', 'Minimal repair', 'Non-homogeneous Poisson process', 'Reliability', 'Renewal process', 'Warranty')",optim warranti polici system imperfect repair we investig system whose basic warranti coverag minim repair specifi warranti length an addit servic offer wherebi first failur restor consum chosen level repair the problem studi two system replac strategi period mainten warranti it turn model general model rinsaka sandoh k rinsaka h sandoh a stochast model addit warranti contract comput mathemat applic model yeh et al r h yeh m y chen c y lin optim period replac polici repair product free repair warranti european journal oper research we deriv optim mainten period optim level repair base structur cost function failur rate function we show certain assumpt optim repair level addit servic increas function replac time we provid numer studi verifi result elsevi b v all right reserv long run expect cost minim repair non homogen poisson process reliabl renew process warranti
8758,"Ohlmann, J.W., Bean, J.C.",6601977243; 7102286668,Resource-constrained management of heterogeneous assets with stochastic deterioration,2009,European Journal of Operational Research,199.0,1.0,198.0,208.0,8.0,10.1016/j.ejor.2008.11.005,https://www.scopus.com/inward/record.url?eid=2-s2.0-67349177505&partnerID=40&md5=07ce7eaf7f4eac879a75c1c7f5c02952,Article,,"We consider a collection of heterogeneous assets which exhibit independent stochastic behavior, but are economically interdependent due to resource constraints on management decisions. We represent the collection of assets as a network of nonhomogeneous Markov decision processes linked by side constraints. To facilitate a procedure for obtaining nonrandomized decision policies, we express the resource limitations as integrated chance constraints and relax them into the objective function within a Lagrangian penalty term. We utilize subgradient optimization to establish upper bounds and a greedy randomized Lagrangian repair heuristic to obtain feasible solutions. We empirically validate the tightness of these a posteriori upper and lower bounds with computational experiments on a pair of applications. For pavement maintenance, we examine the effect that the reward structure of each constituent MDP has on the maintenance policy in the presence of budget constraints. For equipment replacement, we consider constraints on two resource types. © 2008 Elsevier B.V. All rights reserved.","('Equipment replacement', 'Heuristic', 'Lagrangian relaxation', 'Nonhomogeneous Markov decision processes', 'Pavement maintenance')",resourc constrain manag heterogen asset stochast deterior we consid collect heterogen asset exhibit independ stochast behavior econom interdepend due resourc constraint manag decis we repres collect asset network nonhomogen markov decis process link side constraint to facilit procedur obtain nonrandom decis polici express resourc limit integr chanc constraint relax object function within lagrangian penalti term we util subgradi optim establish upper bound greedi random lagrangian repair heurist obtain feasibl solut we empir valid tight posteriori upper lower bound comput experi pair applic for pavement mainten examin effect reward structur constitu mdp mainten polici presenc budget constraint for equip replac consid constraint two resourc type elsevi b v all right reserv equip replac heurist lagrangian relax nonhomogen markov decis process pavement mainten
8851,"Sun, Y., Ma, L., Morris, J.",57191647998; 56428228400; 56333047000,A practical approach for reliability prediction of pipeline systems,2009,European Journal of Operational Research,198.0,1.0,210.0,214.0,38.0,10.1016/j.ejor.2008.07.040,https://www.scopus.com/inward/record.url?eid=2-s2.0-62549150371&partnerID=40&md5=f689fcdc1c15aa6e409a8e1a152dd102,Article,,"Pipelines play an important role in the modern society. Failures of pipelines can have great impacts on economy, environment and community. Preventive maintenance (PM) is often conducted to improve the reliability of pipelines. Modern asset management practice requires accurate predictability of the reliability of pipelines with multiple PM actions, especially when these PM actions involve imperfect repairs. To address this issue, a split system approach (SSA) based model is developed in this paper through an industrial case study. This new model enables maintenance personnel to predict the reliability of pipelines with different PM strategies and hence effectively assists them in making optimal PM decisions. © 2008 Elsevier B.V. All rights reserved.","('Applied probability', 'Maintenance decision support', 'Pipelines', 'Reliability', 'Repairable systems')",a practic approach reliabl predict pipelin system pipelin play import role modern societi failur pipelin great impact economi environ communiti prevent mainten pm often conduct improv reliabl pipelin modern asset manag practic requir accur predict reliabl pipelin multipl pm action especi pm action involv imperfect repair to address issu split system approach ssa base model develop paper industri case studi this new model enabl mainten personnel predict reliabl pipelin differ pm strategi henc effect assist make optim pm decis elsevi b v all right reserv appli probabl mainten decis support pipelin reliabl repair system
8880,"Boschian, V., Rezg, N., Chelbi, A.",55891760000; 6603028561; 6603349657,Contribution of simulation to the optimization of maintenance strategies for a randomly failing production system,2009,European Journal of Operational Research,197.0,3.0,1142.0,1149.0,29.0,10.1016/j.ejor.2008.03.037,https://www.scopus.com/inward/record.url?eid=2-s2.0-62149140828&partnerID=40&md5=145dee1eac14dc0b25c0471ef1b50e53,Article,,"This paper compares two strategies for operating a production system composed of two machines working in parallel and a downstream inventory supplying an assembly line. The two machines, which are prone to random failures, undergo preventive and corrective maintenance operations. These operations with a random duration make the machines unavailable. Moreover, during regular subcontracting operations, one of these machines becomes unavailable to supply the downstream inventory. In the first strategy it is assumed that the periodicity of preventive maintenance operations and the production rate of each machine are independent. The second strategy suggests an interaction between the periods of unavailability and the production rates of the two machines in order to minimize production losses during these periods. A simulation model for each strategy is developed so as to be able to compare them and to simultaneously determine the timing of preventive maintenance on each machine considering the total average cost per time unit as the performance criterion. The second strategy is then considered, and a multi-criteria analysis is adopted to reach the best cost-availability compromise. © 2008 Elsevier B.V. All rights reserved.","('Availability', 'Multi-criteria analysis', 'Preventive maintenance', 'Simulation')",contribut simul optim mainten strategi random fail product system this paper compar two strategi oper product system compos two machin work parallel downstream inventori suppli assembl line the two machin prone random failur undergo prevent correct mainten oper these oper random durat make machin unavail moreov regular subcontract oper one machin becom unavail suppli downstream inventori in first strategi assum period prevent mainten oper product rate machin independ the second strategi suggest interact period unavail product rate two machin order minim product loss period a simul model strategi develop abl compar simultan determin time prevent mainten machin consid total averag cost per time unit perform criterion the second strategi consid multi criteria analysi adopt reach best cost avail compromis elsevi b v all right reserv avail multi criteria analysi prevent mainten simul
8887,"Mellouli, R., Sadfi, C., Chu, C., Kacem, I.",23974778700; 23974736900; 7404344990; 9336871900,Identical parallel-machine scheduling under availability constraints to minimize the sum of completion times,2009,European Journal of Operational Research,197.0,3.0,1150.0,1165.0,49.0,10.1016/j.ejor.2008.03.043,https://www.scopus.com/inward/record.url?eid=2-s2.0-61849184894&partnerID=40&md5=bf37265dcc931090943e5de6f5595ceb,Article,,"In this paper, we study the identical parallel machine scheduling problem with a planned maintenance period on each machine to minimize the sum of completion times. This paper is a first approach for this problem. We propose three exact methods to solve the problem at hand: mixed integer linear programming methods, a dynamic programming based method and a branch-and-bound method. Several constructive heuristics are proposed. A lower bound, dominance properties and two branching schemes for the branch-and-bound method are presented. Experimental results show that the methods can give satisfactory solutions. Crown Copyright © 2008.","('Availability constraints', 'Parallel machines', 'Scheduling problem', 'Total completion times')",ident parallel machin schedul avail constraint minim sum complet time in paper studi ident parallel machin schedul problem plan mainten period machin minim sum complet time this paper first approach problem we propos three exact method solv problem hand mix integ linear program method dynam program base method branch and bound method sever construct heurist propos a lower bound domin properti two branch scheme branch and bound method present experiment result show method give satisfactori solut crown copyright avail constraint parallel machin schedul problem total complet time
8896,"Lust, T., Roux, O., Riane, F.",24071010300; 57202698172; 6603199846,Exact and heuristic methods for the selective maintenance problem,2009,European Journal of Operational Research,197.0,3.0,1166.0,1177.0,75.0,10.1016/j.ejor.2008.03.047,https://www.scopus.com/inward/record.url?eid=2-s2.0-61849151325&partnerID=40&md5=236f3579b6a2b54d41d22bce1889d216,Article,,"We present in this paper, new resolution methods for the selective maintenance problem. This problem consists in finding the best choice of maintenance actions to be performed on a multicomponent system, so as to maximize the system reliability, within a time window of a limited duration. When the number of components of the system is important, this combinatorial problem is not easy to solve, in particular because of the nonlinear objective function modeling the system reliability. This problem did not receive much attention yet. Consequently, rare are the effective resolution methods that are offered to the user. We thus developed heuristics and an exact method based on a branch and bound procedure, which we apply to various system configurations. We compare the obtained results, and we evaluate the best method to be used in various situations. © 2008 Elsevier B.V. All rights reserved.","('Branch and bound', 'Combinatorial optimization', 'Reliability', 'Selective maintenance', 'Tabu search')",exact heurist method select mainten problem we present paper new resolut method select mainten problem this problem consist find best choic mainten action perform multicompon system maxim system reliabl within time window limit durat when number compon system import combinatori problem easi solv particular nonlinear object function model system reliabl this problem receiv much attent yet consequ rare effect resolut method offer user we thus develop heurist exact method base branch bound procedur appli various system configur we compar obtain result evalu best method use various situat elsevi b v all right reserv branch bound combinatori optim reliabl select mainten tabu search
8931,"Xu, D., Yin, Y., Li, H.",56299150300; 18439000200; 36063776700,"A note on """"scheduling of nonresumable jobs and flexible maintenance activities on a single machine to minimize makespan""""",2009,European Journal of Operational Research,197.0,2.0,825.0,827.0,33.0,10.1016/j.ejor.2008.07.021,https://www.scopus.com/inward/record.url?eid=2-s2.0-60649111057&partnerID=40&md5=0d42412007638e429a57f340ac10292c,Article,,"In a recent paper, Chen [J.S. Chen, Scheduling of nonresumable jobs and flexible maintenance activities on a single machine to minimize makespan, European Journal of Operational Research 190 (2008) 90-102] proposes a heuristic algorithm to deal with the problem Scheduling of Nonresumable Jobs and Flexible Maintenance Activities on A Single Machine to Minimize Makespan. Chen also provides computational results to demonstrate its effectiveness. In this note, we first show that the worst-case performance bound of this heuristic algorithm is 2. Then we show that there is no polynomial time approximation algorithm with a worst-case performance bound less than 2 unless P = NP, which implies that Chen's heuristic algorithm is the best possible polynomial time approximation algorithm for the considered scheduling problem. © 2008 Elsevier B.V. All rights reserved.","('Heuristic algorithm', 'Maintenance', 'Scheduling', 'Single machine', 'Worst-case analysis')",a note schedul nonresum job flexibl mainten activ singl machin minim makespan in recent paper chen j s chen schedul nonresum job flexibl mainten activ singl machin minim makespan european journal oper research propos heurist algorithm deal problem schedul nonresum job flexibl mainten activ a singl machin minim makespan chen also provid comput result demonstr effect in note first show worst case perform bound heurist algorithm then show polynomi time approxim algorithm worst case perform bound less unless p np impli chen s heurist algorithm best possibl polynomi time approxim algorithm consid schedul problem elsevi b v all right reserv heurist algorithm mainten schedul singl machin worst case analysi
